분석구역,총_공동주택_세대수,노인복지시설_개수,녹지시설_개수,빈집_개수,시급도_원점수,최종_그린리모델링_시급도점수
풍기읍,1362.0,2.0,52.0,105.0,241.0,100.0
이산면,0.0,0.0,0.0,71.0,213.0,95.2
단산면,0.0,0.0,0.0,58.0,174.0,88.6
안정면,0.0,3.0,14.0,57.0,156.0,85.5
하망동,1792.0,2.0,78.0,85.0,142.0,83.1
부석면,32.0,1.0,39.0,62.0,129.5,81.0
순흥면,0.0,1.0,25.0,42.0,90.5,74.4
상망동,1200.0,0.0,76.0,67.0,87.0,73.8
문수면,0.0,3.0,91.0,58.0,43.5,66.4
조와동,0.0,6.0,0.0,0.0,12.0,61.0
봉현면,0.0,2.0,44.0,23.0,7.0,60.1
대동,3068.0,0.0,0.0,0.0,0.0,58.9
순흥면지동,0.0,0.0,4.0,0.0,-6.0,57.9
조암동,0.0,0.0,8.0,0.0,-12.0,56.9
적서동,0.0,0.0,14.0,0.0,-21.0,55.4
고현동,0.0,0.0,14.0,0.0,-21.0,55.4
영동,0.0,0.0,20.0,0.0,-30.0,53.8
평은면,0.0,0.0,139.0,59.0,-31.5,53.6
영주동,951.0,3.0,128.0,46.0,-48.0,50.8
문정동,48.0,0.0,42.0,0.0,-63.0,48.2
장수면,0.0,1.0,164.0,60.0,-64.0,48.0
아지동,0.0,0.0,56.0,0.0,-84.0,44.6
상줄동,0.0,0.0,124.0,0.0,-186.0,27.3
휴천동,5175.0,3.0,277.0,71.0,-196.5,25.5
가흥동,3763.0,7.0,412.0,86.0,-346.0,0.0
